n,t_s,x_m,y_m,z_m
0,0.000,2.2469,4.0170,2.1821
1,0.118,1.7691,2.9790,2.1525
2,0.242,2.7775,-0.1000,2.1599
3,0.342,2.7966,-0.0630,2.1504
4,0.442,2.8006,-0.0530,2.1631
5,0.543,2.8006,-0.0530,2.1550
6,0.676,2.8047,-0.0430,2.1597
7,0.776,2.7928,-0.0820,2.1532
8,0.876,2.8006,-0.0630,2.1544
9,0.976,2.8006,-0.0530,2.1591
10,1.076,2.7969,-0.0720,2.1578
11,1.176,2.8047,-0.0530,2.1550
12,1.277,2.7969,-0.0720,2.1578
13,1.377,2.8047,-0.0430,2.1597
14,1.480,2.7966,-0.0630,2.1584
15,1.610,2.7966,-0.0530,2.1631
16,1.710,2.8007,-0.0430,2.1597
17,1.844,2.7809,-0.0720,2.1578
18,1.944,2.7845,-0.0430,2.1557
19,2.044,2.7918,-0.0040,2.1582
20,2.144,2.7755,-0.0140,2.1535
21,2.244,2.7553,-0.0240,2.1487
22,2.347,2.7506,-0.0040,2.1417
23,2.478,2.7386,-0.0140,2.1494
24,2.578,2.7578,0.0480,2.1448
25,2.678,2.7735,0.0900,2.1472
26,2.778,2.7783,0.0800,2.1466
27,2.878,2.8032,0.1230,2.1448
28,2.978,2.8248,0.1340,2.1454
29,3.078,2.8562,0.1920,2.1398
30,3.178,2.8696,0.1920,2.1398
31,3.278,2.9121,0.2760,2.1489
32,3.378,2.9060,0.2270,2.1417
33,3.479,2.9195,0.2270,2.1372
34,3.579,2.9244,0.2390,2.1423
35,3.679,2.9060,0.2270,2.1462
36,3.779,2.8934,0.2520,2.1385
37,3.879,2.8951,0.3270,2.1423
38,4.012,2.8439,0.3400,2.1430
39,4.112,2.8018,0.3270,2.1377
40,4.213,2.7914,0.4200,2.1471
41,4.313,2.7493,0.3800,2.1451
42,4.413,2.7514,0.4760,2.1451
43,4.513,2.7545,0.5650,2.1495
44,4.646,2.7343,0.5650,2.1495
45,4.746,2.7377,0.6270,2.1526
46,4.846,2.7461,0.7080,2.1514
47,4.947,2.7040,0.5650,2.1394
48,5.047,2.7461,0.7080,2.1408
49,5.147,2.7521,0.6750,2.1393
50,5.247,2.8093,0.7760,2.1385
