n,t_s,x_m,y_m,z_m
0,0.000,0.0429,2.2620,1.4170
1,0.116,0.0963,2.3750,1.7088
2,0.241,0.0941,2.3370,1.7350
3,0.341,0.0472,2.9310,2.2218
4,0.441,2.9381,3.5110,2.3244
5,0.574,2.5907,3.9490,2.1135
6,0.674,2.5588,3.9490,2.0923
7,0.774,2.5207,3.6910,2.1909
8,0.874,2.4562,3.4530,2.1936
9,0.974,2.2198,4.6160,2.0544
10,1.074,2.2005,4.0170,2.1470
11,1.175,2.7267,3.6300,2.1587
12,1.275,2.7963,-0.1370,2.1731
13,1.375,2.8192,-0.1190,2.1823
14,1.475,2.8466,-0.1000,2.1758
15,1.575,2.8580,-0.0820,2.1890
16,1.675,2.8547,-0.1280,2.1738
17,1.775,2.8585,-0.1190,2.1744
18,1.875,2.8580,-0.0820,2.1771
19,1.975,2.8621,-0.0720,2.1858
20,2.075,2.8506,-0.1000,2.1718
21,2.175,2.8503,-0.0910,2.1764
22,2.275,2.8501,-0.0720,2.1778
23,2.375,2.8387,-0.1000,2.1758
24,2.475,2.8387,-0.1000,2.1758
25,2.575,2.8423,-0.0910,2.1764
26,2.675,2.8460,-0.0820,2.1771
27,2.775,2.8423,-0.0910,2.1764
28,2.875,2.8426,-0.1000,2.1718
29,2.975,2.8659,-0.0530,2.1751
30,3.076,2.8658,-0.0630,2.1704
31,3.176,2.8582,-0.0910,2.1685
32,3.276,2.8699,-0.0820,2.1691
33,3.376,2.8624,-0.1000,2.1718
34,3.476,2.8741,-0.0910,2.1764
35,3.576,2.8741,-0.0910,2.1724
36,3.676,2.8859,-0.0630,2.1744
37,3.776,2.8741,-0.0910,2.1724
38,3.876,2.8819,-0.0820,2.1651
39,3.976,2.9022,-0.0530,2.1670
40,4.076,2.9186,-0.0430,2.1636
41,4.176,2.9348,-0.0430,2.1636
42,4.276,2.9502,-0.0630,2.1543
43,4.376,2.9718,-0.0330,2.1521
44,4.476,2.9592,-0.0430,2.1555
45,4.576,2.9433,-0.0330,2.1480
46,4.676,2.9404,0.0270,2.1431
47,4.777,2.9333,0.1010,2.1429
48,4.877,2.8778,0.0800,2.1375
49,4.977,2.8341,0.1230,2.1397
50,5.077,2.7817,0.1340,2.1403
51,5.177,2.7620,0.1920,2.1477
52,5.277,2.7226,0.1800,2.1471
53,5.377,2.7196,0.2270,2.1451
54,5.477,2.7024,0.2150,2.1445
55,5.577,2.7008,0.2390,2.1412
56,5.677,2.7411,0.3400,2.1416
57,5.777,2.7396,0.2760,2.1339
58,5.910,2.8105,0.3800,2.1387
59,6.010,2.8213,0.3140,2.1357
60,6.110,2.8492,0.3010,2.1304
61,6.211,2.9057,0.4070,2.1352
62,6.311,2.9345,0.4200,2.1358
63,6.444,2.9796,0.4760,2.1383
64,6.544,2.9943,0.4760,2.1334
65,6.644,3.0041,0.4760,2.1334
66,6.744,2.9939,0.4620,2.1279
67,6.844,2.9788,0.4480,2.1273
68,6.944,2.9901,0.4910,2.1242
69,7.044,3.0097,0.6110,2.1290
70,7.144,3.0176,0.6750,2.1368
71,7.244,2.9692,0.6270,2.1348
72,7.344,2.9609,0.7240,2.1388
73,7.445,2.9237,0.7240,2.1335
74,7.547,2.9141,0.8460,2.1329
75,7.678,2.8700,0.9020,2.1406
76,7.778,2.8209,0.8290,2.1322
77,7.878,2.7884,0.8110,2.1315
78,7.978,2.7862,0.8830,2.1287
79,8.078,2.7702,0.8650,2.1336
80,8.178,2.7689,0.9020,2.1350
81,8.278,2.7633,0.9020,2.1350
82,8.379,2.7577,0.9020,2.1294
83,8.479,2.7727,0.9590,2.1258
84,8.579,2.7784,0.9590,2.1258
85,8.679,2.7794,0.9200,2.1244
86,8.779,2.8069,0.9590,2.1258
87,8.882,2.8121,0.9780,2.1264
88,9.012,2.8172,1.0180,2.1278
89,9.112,2.8114,1.0180,2.1278
90,9.212,2.8163,1.0580,2.1292
91,9.312,2.8222,1.0580,2.1234
92,9.412,2.8456,1.0790,2.1300
93,9.512,2.8807,1.1200,2.1254
