n,t_s,x_m,y_m,z_m
0,0.000,2.2944,4.0170,2.1690
1,0.126,0.8531,0.1010,2.1735
2,0.250,0.1481,1.9220,2.2915
3,0.351,0.8531,0.0900,2.1728
4,0.451,0.8531,0.0900,2.1728
5,0.551,0.8570,0.0800,2.1722
6,0.651,0.8224,0.1690,2.1779
7,0.751,0.8403,0.1340,2.1756
8,0.884,0.8531,0.1010,2.1692
9,0.984,0.8531,0.1010,2.1692
10,1.084,0.8357,0.1460,2.1721
11,1.184,0.8531,0.0900,2.1685
12,1.285,0.8612,0.0690,2.1672
13,1.385,0.8313,0.1460,2.1721
14,1.485,0.8360,0.1340,2.1713
15,1.585,0.8360,0.1340,2.1713
16,1.685,0.8446,0.1230,2.1706
17,1.785,0.8531,0.1010,2.1692
18,1.885,0.8224,0.1690,2.1735
19,1.985,0.8403,0.1230,2.1706
20,2.085,0.8612,0.0800,2.1679
21,2.185,0.8446,0.1230,2.1706
22,2.285,0.8655,0.0800,2.1636
23,2.385,0.8447,0.1340,2.1626
24,2.485,0.8312,0.1690,2.1603
25,2.585,0.8270,0.1570,2.1552
26,2.685,0.8043,0.2040,2.1579
27,2.819,0.8136,0.1690,2.1559
28,2.919,0.7916,0.1800,2.1565
29,3.019,0.7597,0.2150,2.1585
30,3.119,0.7569,0.1570,2.1508
31,3.219,0.7201,0.1920,2.1572
32,3.319,0.7068,0.1920,2.1572
33,3.419,0.6811,0.2520,2.1606
34,3.519,0.7104,0.2150,2.1540
35,3.619,0.6975,0.2890,2.1627
36,3.719,0.7304,0.2760,2.1574
37,3.819,0.7818,0.2270,2.1547
38,3.953,0.8223,0.2270,2.1547
39,4.053,0.8401,0.2520,2.1560
40,4.153,0.8116,0.3800,2.1631
41,4.286,0.8211,0.3800,2.1631
42,4.386,0.8069,0.3930,2.1638
43,4.486,0.8171,0.3140,2.1594
44,4.586,0.7744,0.3530,2.1522
45,4.686,0.7250,0.4070,2.1550
46,4.786,0.7071,0.3800,2.1536
47,4.886,0.6380,0.4910,2.1543
48,4.986,0.5581,0.6110,2.1603
49,5.087,0.6069,0.4480,2.1473
50,5.187,0.5032,0.6430,2.1567
51,5.287,0.5491,0.4910,2.1494
52,5.387,0.5248,0.5350,2.1515
53,5.487,0.4843,0.6270,2.1560
54,5.587,0.5203,0.5800,2.1486
55,5.687,0.5304,0.5800,2.1385
56,5.787,0.4858,0.7080,2.1440
57,5.887,0.5036,0.6910,2.1485
58,6.020,0.4891,0.7760,2.1524
59,6.121,0.5485,0.6590,2.1471
60,6.254,0.5640,0.7240,2.1394
61,6.354,0.5880,0.7580,2.1462
62,6.487,0.6418,0.7580,2.1515
63,6.587,0.6794,0.7580,2.1462
64,6.687,0.6684,0.8650,2.1508
65,6.787,0.6732,0.8830,2.1572
66,6.888,0.7269,0.7760,2.1524
67,6.988,0.7385,0.7580,2.1462
68,7.088,0.6972,0.8460,2.1500
69,7.188,0.6795,0.8650,2.1508
70,7.288,0.6602,0.9200,2.1475
71,7.388,0.6592,0.9390,2.1370
72,7.488,0.6386,0.9980,2.1277
73,7.588,0.5985,1.0790,2.1187
74,7.688,0.5631,1.0790,2.1246
75,7.788,0.5124,1.1200,2.1320
76,7.888,0.4885,1.1200,2.1320
77,7.988,0.5116,0.9980,2.1277
78,8.088,0.4650,1.0580,2.1298
79,8.188,0.4734,0.9780,2.1270
80,8.288,0.4342,1.0180,2.1342
81,8.388,0.4168,1.0180,2.1342
82,8.488,0.4063,1.0580,2.1357
83,8.589,0.4095,1.0790,2.1305
84,8.722,0.4140,1.1420,2.1327
85,8.822,0.4441,1.1420,2.1327
86,8.922,0.4005,1.3690,2.1343
87,9.022,0.4858,1.2750,2.1312
88,9.122,0.5213,1.2980,2.1194
89,9.222,0.5668,1.2750,2.1187
90,9.322,0.6207,1.2070,2.1167
91,9.422,0.6242,1.2520,2.1180
92,9.522,0.6138,1.3220,2.1264
93,9.622,0.6366,1.2520,2.1242
94,9.723,0.6166,1.2750,2.1312
95,9.823,0.6042,1.2750,2.1312
96,9.923,0.5994,1.2520,2.1242
97,10.023,0.5652,1.2980,2.1320
98,10.123,0.5174,1.3450,2.1335
99,10.223,0.4875,1.3940,2.1287
100,10.356,0.4348,1.4690,2.1246
101,10.490,0.3706,1.5730,2.1277
102,10.590,0.3373,1.6270,2.1293
103,10.690,0.3269,1.6550,2.1302
104,10.790,0.3304,1.6270,2.1293
105,10.890,0.3572,1.5730,2.1210
106,10.990,0.3304,1.6830,2.1241
107,11.090,0.3235,1.7400,2.1257
108,11.190,0.4339,1.5460,2.1202
109,11.290,0.4270,1.6830,2.1241
110,11.390,0.5096,1.6000,2.1217
111,11.490,0.5375,1.6830,2.1241
112,11.590,0.5684,1.7400,2.1257
113,11.690,0.6048,1.7120,2.1319
114,11.790,0.6244,1.7400,2.1257
115,11.890,0.6479,1.6830,2.1241
116,12.024,0.6395,1.7120,2.1319
117,12.124,0.6641,1.6270,2.1293
118,12.224,0.6652,1.6000,2.1285
119,12.324,0.6437,1.6270,2.1293
120,12.424,0.6080,1.6550,2.1370
121,12.557,0.5770,1.7120,2.1388
122,12.658,0.5824,1.7400,2.1397
123,12.758,0.5442,1.8910,2.1445
124,12.858,0.6034,1.7400,2.1397
125,12.958,0.5714,1.9220,2.1455
126,13.058,0.5804,1.8910,2.1373
127,13.158,0.5842,1.8290,2.1354
128,13.258,0.4755,2.1200,2.1365
129,13.358,0.5130,1.9220,2.1309
130,13.458,0.4834,2.0190,2.1337
131,13.558,0.4479,2.0860,2.1356
132,13.658,0.4885,1.9540,2.1245
133,13.758,0.4584,2.0520,2.1271
134,13.858,0.4420,2.1550,2.1299
135,13.958,0.4546,2.1900,2.1308
136,14.058,0.5084,2.0860,2.1204
137,14.158,0.4880,2.2620,2.1170
138,14.258,0.5223,2.3370,2.1188
139,14.358,0.5901,2.2620,2.1170
140,14.458,0.6543,2.2260,2.1006
141,14.559,0.6674,2.2990,2.1100
142,14.659,0.6899,2.3370,2.1108
143,14.759,0.7564,2.1900,2.1076
144,14.859,0.7713,2.2260,2.1084
145,14.959,0.7361,2.4140,2.1206
146,15.059,0.7787,2.2620,2.1170
147,15.159,0.7604,2.4140,2.1125
148,15.292,0.7772,2.3750,2.1036
149,15.392,0.7783,2.2990,2.1100
150,15.492,0.7180,2.4930,2.1224
151,15.592,0.7450,2.3750,2.1116
152,15.692,0.7354,2.4530,2.1133
153,15.792,0.7354,2.4530,2.1133
154,15.893,0.7354,2.4530,2.1133
155,15.993,0.6897,2.6170,2.1085
156,16.093,0.6933,2.4930,2.1060
157,16.193,0.6591,2.5330,2.1068
158,16.293,0.6072,2.5750,2.1160
159,16.393,0.5073,2.8370,2.1217
160,16.495,0.4954,2.7470,2.1111
161,16.626,0.5208,2.6170,2.1085
162,16.726,0.5450,2.4930,2.1060
163,16.826,0.5124,2.6170,2.1085
164,16.927,0.5402,2.5750,2.1076
165,17.027,0.5326,2.7030,2.1016
166,17.127,0.5277,2.7910,2.1033
167,17.227,0.5864,2.6590,2.0923
168,17.327,0.6407,2.5750,2.0992
169,17.427,0.6742,2.5750,2.0909
170,17.527,0.6700,2.7030,2.1016
171,17.627,0.6658,2.8370,2.0953
172,17.727,0.7482,2.6590,2.0838
173,17.827,0.7725,2.7470,2.0851
174,17.927,0.7979,2.8370,2.0777
175,18.027,0.8418,2.7470,2.0851
176,18.127,0.8330,2.9310,2.0969
177,18.227,0.8598,2.9310,2.0969
178,18.327,0.8688,2.9310,2.0879
179,18.427,0.8781,2.9790,2.0977
180,18.527,0.8867,2.9310,2.0969
181,18.627,0.9370,2.7470,2.0851
182,18.728,0.8957,2.9310,2.0790
183,18.828,0.8781,2.9790,2.0887
184,18.928,0.8329,3.0770,2.0994
185,19.028,0.8236,3.1280,2.0909
186,19.128,0.8140,3.1800,2.0824
187,19.228,0.8046,3.1800,2.0824
188,19.361,0.7961,3.0770,2.0717
189,19.495,0.7400,3.1280,2.0816
190,19.595,0.7234,3.0280,2.0803
191,19.695,0.6869,3.0280,2.0803
192,19.795,0.6581,3.0770,2.0809
193,19.895,0.6322,3.0280,2.0803
194,19.995,0.5462,3.2860,2.0742
195,20.095,0.5845,3.0770,2.0809
196,20.195,0.5957,3.0280,2.0712
197,20.295,0.5978,2.9790,2.0706
198,20.395,0.5978,2.9790,2.0706
199,20.495,0.5635,3.1280,2.0724
200,20.595,0.5957,3.0280,2.0803
201,20.695,0.5728,3.1280,2.0816
202,20.795,0.5845,3.0770,2.0717
203,20.929,0.5703,3.1800,2.0730
204,21.029,0.6100,3.1280,2.0816
205,21.129,0.6265,3.1800,2.0824
206,21.229,0.6750,3.1280,2.0816
207,21.329,0.7307,3.1280,2.0816
208,21.462,0.7450,3.3960,2.0756
209,21.562,0.7940,3.3410,2.0749
210,21.662,0.8517,3.2320,2.0736
211,21.763,0.8890,3.1800,2.0730
212,21.863,0.9434,3.0770,2.0625
213,21.963,0.9265,3.1800,2.0730
214,22.096,0.9193,3.3410,2.0749
215,22.196,0.9618,3.0770,2.0717
216,22.296,0.9697,3.0280,2.0712
217,22.396,0.9472,3.2860,2.0647
218,22.496,0.9299,3.3960,2.0658
219,22.596,0.9472,3.2860,2.0647
220,22.696,0.9472,3.2860,2.0551
221,22.796,0.9472,3.2860,2.0456
222,22.896,0.9299,3.3960,2.0464
223,22.996,0.9111,3.4530,2.0369
224,23.097,0.9281,3.2860,2.0360
225,23.197,0.8721,3.5110,2.0373
226,23.297,0.8323,3.6300,2.0379
227,23.397,0.8225,3.5110,2.0373
228,23.497,0.7817,3.6300,2.0379
229,23.597,0.7622,3.5700,2.0476
230,23.730,0.6876,3.7540,2.0592
231,23.830,0.6464,3.7540,2.0695
232,23.930,0.6502,3.6300,2.0682
233,24.030,0.6520,3.5700,2.0676
234,24.130,0.6154,3.7540,2.0695
235,24.231,0.6401,3.6300,2.0682
236,24.331,0.6502,3.6300,2.0682
237,24.431,0.6704,3.6300,2.0682
238,24.531,0.6670,3.7540,2.0695
239,24.631,0.6404,3.9490,2.0715
240,24.731,0.6742,3.8820,2.0708
241,24.831,0.6967,3.8170,2.0597
242,24.931,0.7071,3.8170,2.0702
243,25.031,0.7289,3.7540,2.0592
244,25.131,0.7392,3.7540,2.0695
245,25.231,0.7607,3.6910,2.0689
246,25.331,0.7817,3.6300,2.0682
247,25.431,0.8123,3.5700,2.0676
248,25.531,0.8423,3.5700,2.0676
249,25.631,0.8525,3.6300,2.0682
250,25.731,0.9012,3.4530,2.0664
251,25.831,0.9024,3.5700,2.0676
252,25.931,0.9405,3.4530,2.0664
253,26.032,0.9503,3.4530,2.0664
254,26.132,0.9233,3.6300,2.0682
255,26.232,0.9124,3.5700,2.0776
256,26.332,0.8930,3.6300,2.0682
257,26.432,0.8930,3.6300,2.0682
258,26.532,0.8427,3.8820,2.0708
259,26.632,0.8527,3.6910,2.0587
260,26.732,0.8218,3.8170,2.0493
261,26.832,0.8118,3.6910,2.0484
262,26.932,0.7592,3.8170,2.0493
263,27.032,0.6936,3.9490,2.0502
264,27.132,0.6617,3.9490,2.0609
