n,t_s,wall,x_m,y_m,z_m
0,0.000,1784812900.752,2.9397,0.0069,2.1635
1,0.212,1784812900.964,2.9397,0.0069,2.1635
2,0.334,1784812901.085,2.9398,0.0174,2.1601
3,0.434,1784812901.186,2.9398,0.0174,2.1642
4,0.568,1784812901.319,2.9311,0.0268,2.1607
5,0.701,1784812901.453,2.9226,0.0477,2.1664
6,0.834,1784812901.586,2.9099,0.0582,2.1587
7,0.934,1784812901.686,2.9008,0.0676,2.1509
8,1.035,1784812901.786,2.8881,0.0676,2.1509
9,1.167,1784812901.919,2.8785,0.0990,2.1400
10,1.268,1784812902.019,2.8976,0.1870,2.1409
11,1.368,1784812902.119,2.9008,0.2331,2.1345
12,1.501,1784812902.253,2.9220,0.3180,2.1299
13,1.601,1784812902.353,2.9312,0.3306,2.1305
14,1.701,1784812902.453,2.9447,0.3820,2.1427
15,1.801,1784812902.553,2.9541,0.4219,2.1497
16,1.935,1784812902.687,2.9686,0.5048,2.1544
17,2.035,1784812902.787,2.9735,0.5625,2.1476
18,2.135,1784812902.887,2.9684,0.6224,2.1559
19,2.237,1784812902.989,2.9633,0.6855,2.1436
20,2.368,1784812903.120,2.9470,0.7675,2.1369
21,2.469,1784812903.220,2.9459,0.8885,2.1425
22,2.602,1784812903.354,2.9392,1.0202,2.1487
23,2.735,1784812903.487,2.9044,1.0202,2.1603
24,2.835,1784812903.587,2.8925,1.0402,2.1613
25,2.936,1784812903.687,2.8973,1.0792,2.1692
26,3.036,1784812903.788,2.8965,1.1204,2.1533
27,3.169,1784812903.921,2.9014,1.1836,2.1381
28,3.269,1784812904.021,2.9186,1.2480,2.1284
29,3.369,1784812904.121,2.9681,1.4096,2.1346
30,3.469,1784812904.221,2.9879,1.4836,2.1374
31,3.603,1784812904.354,2.9879,1.4836,2.1374
32,3.703,1784812904.454,2.9949,1.5597,2.1470
33,3.803,1784812904.555,2.9882,1.5597,2.1537
34,3.936,1784812904.688,3.0094,1.6931,2.1316
35,4.036,1784812904.788,2.9887,1.7206,2.1326
36,4.136,1784812904.888,2.9679,1.7492,2.1266
37,4.236,1784812904.988,2.9750,1.9262,2.1325
38,4.337,1784812905.088,2.9602,2.0206,2.1356
39,4.437,1784812905.188,2.9525,2.1194,2.1466
40,4.537,1784812905.288,2.9224,2.0864,2.1454
41,4.637,1784812905.388,2.9443,2.2224,2.1580
42,4.737,1784812905.489,2.9140,2.1533,2.1477
43,4.837,1784812905.589,2.9281,2.2936,2.1448
44,4.937,1784812905.689,2.9435,2.3670,2.1472
45,5.037,1784812905.789,2.9433,2.4042,2.1565
46,5.137,1784812905.889,2.9675,2.4809,2.1346
47,5.237,1784812905.989,2.9840,2.5203,2.1440
